Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20659868,Aura Pizzas,Sector 4,Delhi NCR,6180311857,"05:14 PM, September 16 2024",Delivered,Zomato Delivery,7km,"1 x Makhani Paneer Pizza, 2 x Bageecha Pizza, 2 x Cheesy Garlic Bread, 2 x Peri Peri Fries, 2 x Chilli Cheese Garlic Bread",,,3721.0,186.05,0.0,0.0,0.0,0.0,3907.05,,,,,,31.43,26.9,Incorrectly,,cb9522f27b27206f333f7d5ea342768b0da8adcb72c3b44e75cf4a0171ce0e1b,9
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6266140236,"10:11 PM, October 17 2024",Delivered,Zomato Delivery,5km,"1 x Angara Paneer Melt, 1 x Harisa Mayo, 1 x Peri Peri Grilled Chicken Pizza, 1 x Mayonnaise, 1 x Murgh Amritsari Seekh Melt, 1 x Pepperoni Garlic Bread, 1 x Herbed Potato, 1 x Fried Chicken Strips, 1 x Garlic Aioli",,Buy 1 Get 1 - ₹966.00,1367.0,68.35,0.0,0.0,0.0,0.0,1435.35,,,,,,42.58,26.6,Correctly,,7ae69f5458b498ccdfaab1e8b7c09ee94a66308aabf8827aa27a081b8cea141a,9
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6298661490,"11:31 PM, October 24 2024",Delivered,Zomato Delivery,3km,"1 x Grilled Chicken Smoky BBQ Tender, 2 x Peri Peri Crisper Fries, 1 x Peri Peri Fries, 2 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Peri Peri Tender",,,3252.0,162.6,0.0,0.0,0.0,0.0,3414.6,,,,,,28.2,0.5,Correctly,,a23f377bce4b8b28ece7645e0b790047160f0550d87f982298e79ed752d551bb,9
20659868,Aura Pizzas,Sector 4,Delhi NCR,6291767234,"02:40 PM, October 22 2024",Rejected,Zomato Delivery,9km,"1 x Murgh Amritsari Seekh Pizza, 1 x Bageecha Pizza, 2 x Peri Peri Paneer Pizza, 2 x Makhani Paneer Pizza, 3 x Peri Peri Grilled Chicken Pizza",,Flat 15% off,6751.0,286.92,1012.65,0.0,0.0,0.0,6025.27,,,Cancelled by Zomato,3236.98,,19.97,,Missed,,1bb38b58749982ba7bc6b358a00cea689874f9e5bab6ba6c57d8159a9d1fe8b4,9
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6300410441,"07:18 PM, October 25 2024",Delivered,Zomato Delivery,6km,"3 x Peanut Butter Chocolate Pide, 2 x Masala Paneer Pide, 2 x Mushroom Pizza, 2 x Mushroom Mozzarella Melt",,Flat 25% off,4031.0,151.16,1007.75,0.0,0.0,0.0,3174.41,,,,,,25.12,21.4,Incorrectly,,5cdc946385e2fd4cd98f2c8a5527162bf61b6b6de4876a4dba4338774e0f914b,9
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6308751926,"02:16 PM, November 08 2024",Delivered,Zomato Delivery,8km,"1 x Cheesy Garlic Bread, 1 x Grilled Tangdis, 2 x Peri Peri Crisper Fries, 1 x Makhani Paneer Pizza, 1 x Tripple Cheese Pizza, 1 x Malai Gud Pide, 1 x Peri Peri Paneer Melt, 1 x All About Chicken Pizza",,Buy 1 Get 1 - ₹1644.00,2043.0,102.15,0.0,0.0,0.0,0.0,2145.15,,,,,,35.88,29.1,Correctly,,6f392aeeded6e793eef072161b0601aeac84241ae2437caea1b963bf3326f5bd,9
20968206,Dilli Burger Adda,Greater Kailash 2 (GK2),Delhi NCR,6349237334,"08:02 PM, November 11 2024",Delivered,Zomato Delivery,4km,"2 x Peri Peri Fries, 2 x Grilled Paneer Burger, 5 x Grilled Chicken Dirty Burger",,Flat Rs.125 off,2926.0,126.05,125.0,0.0,280.1,0.0,2646.95,,,,,,33.57,8.0,Incorrectly,,487de120e16cd88eef4f8016904d36d28f0076360221284ca841c51053eca5e5,9
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6477740153,"08:08 PM, December 31 2024",Delivered,Zomato Delivery,4km,"1 x Cheesy Garlic Bread, 2 x Chilli Cheese Garlic Bread, 1 x Just Pepperoni Pizza, 1 x Bageecha Pizza, 1 x Mushroom Pizza, 1 x Margherita Pizza, 1 x All About Chicken Pizza, 1 x Jamaican Chicken Melt",,Flat 25% off,5011.0,187.91,1252.75,0.0,0.0,0.0,3946.16,,,,,,42.27,3.0,Correctly,,b0da2e47a5e48fc4cd2d388d0861f54adf20889d122d5e4f371d1d9918fd5fac,9
20320607,Swaad,Sector 4,Delhi NCR,6519937816,"06:55 PM, January 19 2025",Delivered,Zomato Delivery,2km,"2 x Herbed Potato, 6 x Grilled Chicken Jamaican Boneless Breast, 1 x Kabuli Grilled Paneer (8 pcs)",,Flat 20% off,3441.0,141.08,619.38,0.0,0.0,0.0,2962.7,,,,,,28.83,19.1,Incorrectly,,7ca81b9d40d023438eb17f6e2d31db8b06f4d8d83d8fd88c459fd409b966fe49,9
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6526572469,"07:21 PM, January 18 2025",Delivered,Zomato Delivery,5km,"1 x Fried Chicken Angara Tender, 1 x GhostBuster Sauce, 1 x AAC Signature Crisper Fries, 1 x Peri Peri Fries, 1 x AAC Grilled Chicken Burger, 1 x Fried Chicken Peri Peri Tender, 1 x Harissa Mayo, 1 x Smoky BBQ Sauce, 1 x Dynamite sauce",,Flat 20% off,1883.0,77.2,338.94,0.0,0.0,0.0,1621.26,,,,,,22.23,0.6,Correctly,,af045153b3eb74f70f306242095dba15841b4ce35b167a9efc2bd1085a5b3bcf,9
