Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6192598917,"03:31 PM, September 19 2024",Delivered,Zomato Delivery,5km,"1 x Peri Peri Grilled Chicken Pizza, 1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Seekh Melt, 1 x Murgh Amritsari Seekh Pizza, 1 x All About Chicken Pizza, 1 x Mutton Seekh Pizza, 1 x Chicken Pepperoni Pizza, 1 x Angara Paneer Melt, 1 x Bageecha Pizza, 1 x Desi Chicken Pepperoni Pizza",,Buy 1 Get 1 - ₹3685.00,3815.0,190.75,0.0,0.0,0.0,0.0,4005.75,,,,,,39.2,22.8,Correctly,,6c246b8dc0f5390dcdb07f315710267e7a68187bfc5a6dc9d65b4686669e59a7,10
20659868,Aura Pizzas,Sector 4,Delhi NCR,6242836880,"01:26 AM, October 06 2024",Delivered,Zomato Delivery,7km,"2 x Chilli Cheese Garlic Bread, 1 x Tripple Cheese Pizza, 4 x Iced Green Tea - Peach, 1 x Onion Rings, 1 x Peri Peri Crisper Fries, 1 x Angara Paneer Melt",,Buy 1 Get 1 - ₹767.00,1675.96,83.8,0.0,0.0,0.0,0.0,1759.76,,,,,,18.93,7.0,Incorrectly,,fcbd6b219bc7a45ab71bbe13aa6750f353794623ca781ac297cf2fe8be7a2fde,10
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR,6246546604,"07:12 PM, October 07 2024",Delivered,Zomato Delivery,14km,"2 x Indian Pico De-Gallo, 1 x Bacon Pepperoni Melt, 1 x Garlic Aioli, 1 x Murgh Amritsari Garlic Bread, 1 x Makhani Paneer Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Jamaican Chicken Melt, 2 x Harisa Mayo",,Flat Rs.200 off,2693.0,124.65,200.0,0.0,0.0,0.0,2617.65,,,,,,30.08,11.0,Incorrectly,,3c2ecd2db7e2b651f6d8bbf9774e413cdd9a072cf5d24a4e83c68743e1e43e50,10
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6298463683,"09:39 PM, October 26 2024",Delivered,Zomato Delivery,2km,"1 x Chicken Pepperoni Pizza, 5 x Cheesy Garlic Bread, 1 x Makhani Paneer Pizza, 1 x Margherita Pizza, 1 x Jamaican Chicken Melt, 1 x Peri Peri Grilled Chicken Pizza",,Buy 7 Get 3 - ₹717.00,3423.0,171.15,0.0,0.0,0.0,0.0,3594.15,,,,,,24.23,3.2,Correctly,,fb030711dc72929461c37e00c9440eead6f57c51dd051689eb6d12dc68797ed1,10
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6311217092,"12:57 AM, October 31 2024",Delivered,Zomato Delivery,12km,"1 x All About Chicken Pizza, 2 x Margherita Pizza, 3 x Grilled Tangdis, 1 x Bageecha Pizza, 1 x Mushroom Pizza, 2 x Peri Peri Grilled Chicken Pizza",,,6220.0,311.0,0.0,0.0,0.0,0.0,6531.0,,,,,,27.22,11.5,Incorrectly,,b449a4f943655e514b18348cbc55f276214865597b388bab7037adc913cf0576,10
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6290509586,"12:52 PM, October 26 2024",Delivered,Zomato Delivery,4km,"1 x Bellpepper Onion Pizza, 3 x Peri Peri Grilled Chicken Pizza, 1 x Makhani Paneer Pizza, 3 x Mushroom Pizza, 2 x Murgh Amritsari Seekh Pizza",,,8023.0,401.15,0.0,0.0,0.0,0.0,8424.15,,,,,,40.15,11.3,Incorrectly,,d429bb04060384f2f6480bd264ead2929e9b939d9f0362b7a7c05a528ab72e03,10
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6287372088,"06:49 PM, October 25 2024",Rejected,Zomato Delivery,6km,"2 x Peanut Butter Chocolate Pide, 1 x Mayonnaise, 2 x Mushroom Pizza, 2 x Mushroom Mozzarella Melt, 1 x Malai Gud Pide, 2 x Masala Paneer Pide",,Flat 25% off,4041.0,151.54,1010.25,0.0,0.0,0.0,3182.29,,,Cancelled by Zomato,,,,,Missed,,5cdc946385e2fd4cd98f2c8a5527162bf61b6b6de4876a4dba4338774e0f914b,10
21309083,Swaad,Sector 135,Delhi NCR,6303527680,"07:50 PM, October 26 2024",Delivered,Zomato Delivery,2km,"1 x Fried Chicken Classic Tender ., 1 x Fried Chicken Kabuli Tender ., 1 x Kabuli Grilled Paneer (8 pcs), 4 x Salted Crisper Fries, 2 x Grilled Chicken Angara Tangdi, 1 x Onion Rings",,Buy 7 Get 3 - ₹537.00,2623.0,131.15,0.0,0.0,0.0,0.0,2754.15,,,,,,26.75,7.2,Incorrectly,,689bb9a9e940cdbf737aa9c7539b6225a2b8794d0be8823ea0effc485f53a235,10
20320607,Swaad,Sector 4,Delhi NCR,6324574667,"11:33 AM, November 03 2024",Delivered,Zomato Delivery,6km,10 x Bone in Angara Grilled Chicken,,Buy 7 Get 3 - ₹930.00,2170.0,108.5,0.0,0.0,0.0,0.0,2278.5,,,,,,28.27,18.8,Incorrectly,,99c087393d536e7f910dac6a160eb6ba0efd227412a8a075fb17013fdf289e78,10
21309083,Swaad,Shahdara,Delhi NCR,6316878133,"06:43 PM, November 03 2024",Delivered,Zomato Delivery,2km,"1 x Fried Chicken Kabuli Tender, 1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Classic Tender, 1 x Animal Fries, 1 x Garlic Aioli, 1 x Bone in Angara Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",,Buy 7 Get 3 - ₹680.00,2275.0,113.75,0.0,0.0,0.0,0.0,2388.75,,,,,,22.23,9.8,Incorrectly,,2ae070c6cd2fc482f53868bea3673988097b7af2bce10b1d030880171dcdc671,10
