Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6258979613,"07:13 PM, October 11 2024",Delivered,Zomato Delivery,1km,"1 x Margherita Pizza, 1 x Salted Crisper Fries, 1 x Herbed Potato, 1 x Onion Rings, 2 x Tipsy Tiger Fresh Lime Soda, 2 x Iced Green Tea - Mojito, 2 x Tipsy Tiger Ginger Ale, 1 x Bageecha Pizza, 4 x Iced Green Tea - Peach",,,2940.64,147.03,0.0,0.0,0.0,0.0,3087.67,,,,,,21.08,0.9,Correctly,,c90520fdef27d92533ce86b6e8e2585f775b24c54b6cdf8a35764c58d7a801fb,15
21077127,Aura Pizzas,Sector 135,Delhi NCR,6415538255,"12:56 PM, December 11 2024",Delivered,Zomato Delivery,1km,"10 x Bageecha Pizza, 5 x Herbed Potato",,,6730.0,168.25,0.0,3365.0,0.0,0.0,3533.25,,,,,,54.72,26.1,Correctly,,4eb063b44ac27add476c20463da3a1bc4d57f224c56d97bcec2fc4d0ff9f94e6,15
20659868,Aura Pizzas,Sector 4,Delhi NCR,6546356635,"01:37 PM, January 24 2025",Delivered,Zomato Delivery,7km,"2 x Peri Peri Paneer Pizza, 8 x Tipsy Tiger Fresh Lime Soda, 2 x Malai Gud Pide, 3 x Bageecha Pizza",,Flat 15% off,5575.4,247.57,624.11,0.0,0.0,0.0,5198.86,,,,,,34.52,1.7,Correctly,,e8830bb20bc498cf681480d936b1806c12cc47b317d08bc428646c280c11f74d,15
