Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6152103927,"08:20 PM, September 04 2024",Delivered,Zomato Delivery,9km,"1 x Fried Chicken Peri Peri Tender, 2 x Animal Fries, 1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender, 1 x Kabuli Grilled Paneer (8 pcs), 2 x AAC Saucy Fries",,,2910.0,76.25,0.0,1385.0,0.0,0.0,1601.25,,,,,,25.37,2.7,Correctly,,00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,8
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6148946223,"05:12 PM, September 04 2024",Delivered,Zomato Delivery,2km,"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Animal Fries, 1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",,,2650.0,67.5,0.0,1300.0,0.0,0.0,1417.5,,,,,,26.93,0.9,Correctly,,499364a5bf2f4a22646f82c79744dbfa56bdfea02b102a797be873ff09859f99,8
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6157573065,"09:00 PM, September 06 2024",Delivered,Zomato Delivery,6km,"1 x Peri Peri Fries, 1 x All About Chicken Pizza, 1 x Mushroom Pizza, 1 x Indian Masala Fries, 1 x Jamaican Chicken Melt, 1 x Angara Paneer Melt, 1 x Bageecha Pizza, 1 x Just Pepperoni Pizza",,Buy 1 Get 1 - ₹2296.00,2326.0,116.3,0.0,0.0,0.0,0.0,2442.3,,,,,,26.2,0.6,Correctly,,b5789293cb1ebcf0e70dfc82d49f80fcd8937b46b061f0775261ef007d0fa743,8
21077127,Aura Pizzas,Sector 135,Delhi NCR,6149647931,"08:14 PM, September 06 2024",Delivered,Zomato Delivery,1km,"2 x Chilli Cheese Garlic Bread, 2 x Masala Potato Pide, 2 x Herbed Potato, 2 x Margherita Pizza",,Buy 1 Get 1 - ₹1165.00,1165.0,58.25,0.0,0.0,0.0,0.0,1223.25,,,,,,17.98,0.6,Correctly,,1c7cc9960c59b9de63026c7b19a747b6586c0941b642385d859e1118e515d17e,8
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6163640048,"07:27 PM, September 11 2024",Delivered,Zomato Delivery,11km,"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Classic Tender, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",,,2510.0,62.75,0.0,1255.0,0.0,0.0,1317.75,,,,,,20.63,1.4,Correctly,,f6555c3b4da12094b0017a61608da160df5e35b0e360065dab4542c8f8222c43,8
20659868,Aura Pizzas,Sector 4,Delhi NCR,6179595247,"11:45 AM, September 19 2024",Delivered,Zomato Delivery,2km,"2 x Tripple Cheese Pizza, 2 x Makhani Paneer Pizza, 2 x Margherita Pizza, 2 x Bageecha Pizza",,Buy 1 Get 1 - ₹2946.00,2946.0,147.3,0.0,0.0,0.0,0.0,3093.3,,,,,,23.38,4.3,Correctly,,648367ba53766c03a31012c707447432592dc54fad0cf959b74fdfd36dfb7d47,8
20659868,Aura Pizzas,Sector 4,Delhi NCR,6175141332,"07:17 PM, September 14 2024",Delivered,Zomato Delivery,3km,"1 x Peri Peri Grilled Chicken Pizza, 1 x Peri Peri Paneer Pizza, 3 x Fried Chicken Strips, 1 x Jamaican Chicken Melt, 1 x Malai Gud Pide, 1 x All About Chicken Pizza",,Buy 1 Get 1 - ₹1476.00,1686.0,84.3,0.0,0.0,0.0,0.0,1770.3,,,,,,15.98,1.1,Correctly,,186c70602b2b7ec290df144638c6a86ca9fe81206170e7a18c915b8769281592,8
21309083,Swaad,Sector 135,Delhi NCR,6171727037,"05:37 PM, September 11 2024",Delivered,Zomato Delivery,16km,"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken, 1 x Onion Bombs, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Kabuli Grilled Chicken, 1 x AAC Special Slaw, 1 x Fried Chicken Classic Tender",,,2181.0,55.15,0.0,1078.0,0.0,0.0,1158.15,,,,,,22.33,1.3,Correctly,,f890401fb90b71a0232f0620e3122ed43677fd4b565966eb10ace198a66d273d,8
20659868,Aura Pizzas,Sector 4,Delhi NCR,6209719235,"04:49 PM, September 24 2024",Delivered,Zomato Delivery,4km,"2 x Chilli Cheese Garlic Bread, 2 x Masala Paneer Pide, 1 x Mushroom Pizza, 1 x Makhani Paneer Pizza, 2 x Herbed Potato",,Buy 1 Get 1 - ₹1475.00,1525.0,76.25,0.0,0.0,0.0,0.0,1601.25,,,,,,22.7,6.2,Incorrectly,,b20394f7be5f7735f98c9ae69fba0b1fa1df9565e3b5dc8b931afd985c10f53f,8
20882713,Swaad,DLF Phase 1,Delhi NCR,6216163919,"01:55 AM, September 29 2024",Delivered,Zomato Delivery,<1km,"1 x Smoky BBQ Sauce, 1 x Animal Fries, 1 x Peri Peri Sauce, 1 x GhostBuster Sauce, 1 x Harisa Mayo, 1 x AAC Special Slaw, 1 x Indian Pico De-Gallo, 1 x Indian Honey Mustard sauce",,,863.0,43.15,0.0,0.0,0.0,0.0,906.15,,,,,,20.44,3.2,Incorrectly,,0afe9d168c1213afce6ed532fc4aa3f2d402c40315138b25f38ceb7bfbab8f00,8
