Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20882713,Swaad,DLF Phase 1,Delhi NCR,6256562820,"07:09 PM, October 11 2024",Delivered,Zomato Delivery,5km,"1 x AAC Grilled Chicken Burger, 1 x Angara Grilled Paneer (8 pcs), 1 x Fried Chicken Angara Tender, 1 x Jamaican Sauce, 1 x GhostBuster Sauce, 1 x Tipsy Tiger Ginger Ale, 1 x Indian Pico De-Gallo, 1 x Angara Sauce, 1 x Tipsy Tiger Fresh Lime Soda, 1 x AAC Fried Paneer Burger, 1 x Fried Chicken Ghostbuster Tender",,Flat Rs.175 off,2413.1,111.91,175.0,0.0,0.0,0.0,2350.01,,,,,,37.2,23.8,Incorrectly,,5914660a49bf2d873b78b4a9165e4b15ff25032277260a1ad233702c4b5a55ea,11
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6295703256,"07:11 PM, October 25 2024",Delivered,Zomato Delivery,6km,"3 x Chilli Cheese Garlic Bread, 2 x Cheesy Garlic Bread, 1 x Margherita Pizza, 2 x Spinach Sumac Pide, 3 x Bageecha Pizza",,Flat 25% off,4959.0,185.96,1239.75,0.0,0.0,0.0,3905.21,,,,,,22.58,3.7,Incorrectly,,f52e39fdc221c21689e5762eff1dd40f2dc47ed20e98649f86d986324a065cff,11
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6297604462,"06:53 PM, October 25 2024",Rejected,Zomato Delivery,6km,"3 x Bageecha Pizza, 1 x Margherita Pizza, 2 x Cheesy Garlic Bread, 2 x Spinach Sumac Pide, 3 x Chilli Cheese Garlic Bread",,Flat 25% off,4959.0,185.96,1239.75,0.0,0.0,0.0,3905.21,,,Cancelled by Zomato,,,,,Missed,,f52e39fdc221c21689e5762eff1dd40f2dc47ed20e98649f86d986324a065cff,11
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6356846303,"11:53 AM, November 18 2024",Delivered,Zomato Delivery,4km,"2 x Bageecha Pizza, 2 x Mutton Seekh Pizza, 2 x Makhani Paneer Pizza, 2 x Chicken Pepperoni Pizza, 1 x Peri Peri Paneer Pizza, 2 x All About Chicken Pizza",,Flat Rs.200 off,6809.0,330.45,200.0,0.0,0.0,0.0,6939.45,,,,,,37.27,4.0,Correctly,,3c0af496160841653afdb557b0b7af062131627d29f531cebf2ed8f54a3d0b29,11
