Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6347103380,"11:21 AM, November 14 2024",Delivered,Zomato Delivery,4km,"7 x Bageecha Pizza, 7 x Angara Paneer Melt",,Flat 25% off,7336.0,275.1,1834.0,0.0,0.0,0.0,5777.1,,,,,,49.88,34.2,Correctly,,be8f0c9ca87a87f4d408ed6186ec50f32aef69eac6e699d72dfe562f8b90e1dd,14
20659868,Aura Pizzas,Sector 4,Delhi NCR,6400528385,"08:00 PM, December 03 2024",Delivered,Zomato Delivery,<1km,14 x Angara Paneer Melt,,Buy 1 Get 1 - ₹3143.00,3143.0,157.15,0.0,0.0,0.0,0.0,3300.15,,,,,,38.52,29.9,Correctly,,447f3d277e77e80188986fcbd853a877d6d8e49cd4a9eca7863a0bd8e39efa92,14
