Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20659868,Aura Pizzas,Sector 4,Delhi NCR,6312677175,"03:37 PM, October 30 2024",Delivered,Zomato Delivery,<1km,"4 x Chilli Cheese Garlic Bread, 2 x Peri Peri Paneer Pizza, 3 x Bageecha Pizza, 3 x Mushroom Pizza",,Flat 15% off,7368.0,313.14,1105.2,0.0,0.0,0.0,6575.94,,,,,,25.4,8.1,Incorrectly,,69e1a8a94e5a5ecc45615de59fceb5ec2f82ca1e900ff9ae22bfd90e29ab5dc9,12
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR,6341844963,"01:07 PM, November 09 2024",Delivered,Zomato Delivery,1km,"1 x Jamaican Chicken Melt, 1 x Peri Peri Grilled Chicken Pizza, 1 x Murgh Amritsari Seekh Pizza, 7 x Tipsy Tiger Fresh Lime Soda, 1 x Mushroom Pizza, 1 x Bageecha Pizza",,,4724.35,236.22,0.0,0.0,0.0,0.0,4960.57,5.0,,,,,31.0,5.6,Correctly,,d64ce55ea25b56ebdf878c14fbbdc0dc9379b3e3e0a32a9acd0a740f83562965,12
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6365931333,"08:19 PM, November 19 2024",Delivered,Zomato Delivery,3km,"1 x Salted Crisper Fries, 1 x Onion Bombs, 1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Bone in Kabuli Grilled Chicken, 1 x Peri Peri Crisper Fries, 1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender, 1 x Bone in Peri Peri Grilled Chicken, 1 x Fried Chicken Kabuli Tender, 1 x Grilled Chicken Angara Tender",,Buy 1 Get 1 - ₹1764.00,1832.0,91.6,0.0,0.0,0.0,0.0,1923.6,,,,,,37.97,16.5,Correctly,,f58a407b7a69834c1e1f6cc07b67c63d23726a24ad4ecbf473f13b73015215c5,12
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6407530139,"04:28 PM, December 04 2024",Delivered,Zomato Delivery,2km,"3 x Peri Peri Grilled Chicken Pizza, 5 x Cheesy Garlic Bread, 1 x Murgh Amritsari Seekh Pizza, 2 x All About Chicken Pizza, 1 x Tripple Cheese Pizza",,,5548.0,249.66,0.0,0.0,0.0,554.8,5242.86,,,,,,30.13,17.5,Correctly,,fb030711dc72929461c37e00c9440eead6f57c51dd051689eb6d12dc68797ed1,12
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6438391810,"08:43 PM, December 14 2024",Delivered,Zomato Delivery,4km,"2 x Peri Peri Grilled Chicken Pizza, 2 x Bageecha Pizza, 1 x Fried Chicken Tenders, 2 x Just Pepperoni Pizza, 2 x Cheesy Garlic Bread, 2 x Herbed Potato, 1 x Grilled Chicken Tangdi",Order: Can you make one of the peri peri chicken pizzas into a mushroom one,Buy 1 Get 1 - ₹2874.00,3763.0,188.15,0.0,0.0,0.0,0.0,3951.15,,,,,,40.95,22.3,Correctly,,b2f905eb1fc684df18704cff9e00185d21720e272fc7b4b5bff636751132dd75,12
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6479925241,"01:35 PM, December 31 2024",Delivered,Zomato Delivery,7km,"2 x Herbed Potato, 1 x Onion Rings, 2 x Indian Masala Cripser Fries, 1 x Peri Peri Paneer Pizza, 1 x All About Chicken Pizza, 1 x Mushroom Mozzarella Melt, 1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Garlic Bread, 1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Seekh Pizza",,Flat 15% off,4926.0,207.65,625.05,148.0,0.0,0.0,4360.6,,,,,,35.18,0.7,Correctly,,e8cabd6e1ccf9bece8546e305294acc2524786672c7b3b78ee565dbd31ef31e3,12
20659868,Aura Pizzas,Sector 4,Delhi NCR,6505335175,"08:36 PM, January 10 2025",Delivered,Zomato Delivery,9km,"1 x Malai Gud Pide, 1 x Harissa Mayo, 1 x Indian Masala Cripser Fries, 1 x Mayonnaise, 1 x Cafreal Sauce, 2 x Garlic Aioli, 1 x Cheesy Garlic Bread, 1 x Indian Salsa, 1 x Tripple Cheese Pizza, 1 x Peanut Butter Chocolate Pide, 1 x Peri Peri Paneer Pizza",,,2932.0,146.6,0.0,0.0,0.0,0.0,3078.6,,,,,,38.62,9.5,Correctly,,e47f1c39f28d3c51bc2e044055d9146ab33f750b62b0d1a6244106267ce12700,12
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6488839992,"06:49 PM, January 01 2025",Delivered,Zomato Delivery,2km,"2 x Murgh Amritsari Seekh Pide, 1 x Margherita Pizza, 1 x Angara Paneer Melt, 1 x Chicken Pepperoni Pizza, 1 x Peri Peri Paneer Pizza, 1 x Bellpepper Onion Pizza, 1 x Jamaican Chicken Melt, 1 x Spinach Sumac Pide, 1 x Masala Paneer Pide, 2 x Herbed Potato",,Buy 1 Get 1 - ₹2323.00,2463.0,123.15,0.0,0.0,0.0,0.0,2586.15,5.0,,,,,26.17,12.9,Incorrectly,,5be965a6260a7361ce2ecc41cf4c166ddcc47a6acabf073661b756929dc923fd,12
20659868,Aura Pizzas,Sector 4,Delhi NCR,6547425563,"07:45 PM, January 26 2025",Delivered,Zomato Delivery,6km,"2 x Fried Chicken Tenders, 2 x Grilled Chicken Tangdi, 2 x Chilli Cheese Garlic Bread, 1 x Margherita Pizza, 1 x Chicken Pepperoni Pizza, 2 x Cheesy Garlic Bread, 1 x Jamaican Chicken Melt, 1 x Bageecha Pizza",,,6162.0,308.1,0.0,0.0,0.0,0.0,6470.1,,,,,,28.58,2.0,Correctly,,6e20277dbd73cbb1a37fa90932680d00dd5aa70402b7420f9cbd6d00ca7c7d43,12
