Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20320607,Swaad,Sector 4,Delhi NCR,6143948696,"12:17 PM, September 04 2024",Delivered,Zomato Delivery,1km,"2 x Bone in Jamaican Grilled Chicken, 2 x Grilled Chicken Angara Tender, 2 x Grilled Chicken Jamaican Tender",,,3020.0,75.5,0.0,1510.0,0.0,0.0,1585.5,,,,,,37.23,15.7,Correctly,,39b23bc8a3f90fe38c859eb3d82f6ae8a5f03f081ca65facfaf192d4c3f8a564,6
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6151789684,"10:29 PM, September 04 2024",Delivered,Zomato Delivery,1km,"1 x Salted Krispers, 1 x Fried Chicken Angara Tender, 2 x Onion Bombs, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",,,1700.0,47.4,0.0,752.0,0.0,0.0,995.4,,,,,,34.92,8.5,Correctly,,957516865f417e827a7c8335b0472e30b40b0cc64467ca950c45a44d4210acb7,6
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6157747165,"12:07 AM, September 08 2024",Delivered,Zomato Delivery,4km,"1 x Harisa Mayo, 1 x Cheesy Garlic Bread, 1 x Peri Peri Chicken Melt, 1 x Garlic Aioli, 1 x Murgh Amritsari Seekh Melt, 1 x Margherita Pizza",,,2035.0,101.75,0.0,0.0,0.0,0.0,2136.75,,,,,,21.02,8.1,Incorrectly,,24a824a92aeeb1bd31258878f8fa1d20e166001cb08da2ab5aaf55011169478e,6
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6158214237,"12:23 PM, September 07 2024",Delivered,Zomato Delivery,2km,"1 x Chilli Cheese Garlic Bread, 1 x Cheesy Garlic Bread, 1 x Peri Peri Paneer Pizza, 1 x Bellpepper Onion Pizza, 1 x Tripple Cheese Pizza, 1 x All About Chicken Pizza",,Buy 1 Get 1 - ₹1367.00,1497.0,74.85,0.0,0.0,0.0,0.0,1571.85,,,,,,29.78,14.3,Correctly,,2779580bc8208d2ff13bac731b9d3541149942a4dee7558c5aa6ba0cee0e1972,6
20659868,Aura Pizzas,Sector 4,Delhi NCR,6147705170,"11:29 PM, September 06 2024",Delivered,Zomato Delivery,7km,"2 x Indian Masala Fries, 1 x Malai Gud Pide, 1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Seekh Pizza, 1 x All About Chicken Pizza",,Buy 1 Get 1 - ₹1046.00,1076.0,53.8,0.0,0.0,0.0,0.0,1129.8,,,,,,25.18,2.7,Correctly,,305e50786617bef0718d1d2fd64913f609656a8c09c1571dd401e7aff57b0534,6
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6155785935,"12:13 PM, September 06 2024",Delivered,Zomato Delivery,6km,"1 x Peri Peri Paneer Pizza, 1 x Bellpepper Onion Pizza, 1 x All About Chicken Pizza, 1 x Peri Peri Grilled Chicken Pizza, 1 x Bageecha Pizza, 1 x Murgh Amritsari Seekh Pizza",,Buy 1 Get 1 - ₹2397.00,2457.0,122.85,0.0,0.0,0.0,0.0,2579.85,,,,,,57.6,32.9,Incorrectly,,58465770cb440b394fd078465cb7bc800fbc2be167ff2c54e16c12d9f250d03c,6
20882713,Swaad,DLF Phase 1,Delhi NCR,6164933438,"08:56 PM, September 10 2024",Delivered,Zomato Delivery,8km,"1 x Fried Chicken Angara Tender, 1 x Bone in Angara Grilled Chicken, 2 x Bone in Kabuli Grilled Chicken, 1 x Garlic Aioli, 1 x Fried Chicken Kabuli Tender",,,1775.0,88.75,0.0,0.0,0.0,0.0,1863.75,,,,,,26.18,4.9,Correctly,,b87b115e3d8d4679f33d4d5a27da20af3a25c7e270b9f88f65056fd489c84346,6
21077127,Aura Pizzas,Sector 135,Delhi NCR,6157073349,"08:25 PM, September 06 2024",Delivered,Zomato Delivery,5km,"2 x OG Cheese Pide, 2 x Fried Chicken Strips, 2 x Margherita Pizza",,Buy 1 Get 1 - ₹1187.00,1187.0,59.35,0.0,0.0,0.0,0.0,1246.35,,,,,,17.8,0.5,Correctly,,2504e29fd1a9c44103cbe668adfcafef9e126a383fe3d76c7f670ea48a8fd36b,6
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6172194442,"08:25 PM, September 11 2024",Delivered,Zomato Delivery,2km,"2 x Peri Peri Fries, 1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Peri Peri Tender",,,1648.0,41.2,0.0,824.0,0.0,0.0,865.2,,,,,,17.32,0.3,Correctly,,98daae8ad9464864c3e7dc25fff0f3c0a83cea77643104b3a2b3d9e68dbb0b6d,6
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6171926080,"08:07 PM, September 11 2024",Delivered,Zomato Delivery,4km,"1 x Kabuli Grilled Paneer (8 pcs), 1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Angara Rice, 2 x Fried Chicken Classic Tender",,,1728.0,47.25,0.0,783.0,0.0,0.0,992.25,,,,,,26.52,9.9,Correctly,,fa0ac6783ffda40c683a86bbff6dbe4e6fdb5e410457392243c6c752e35cbed5,6
